"Index","Page","Heading1","Heading2","Item","Anchor","InternalAction","Comment"
"71","116","35. General matters","35.1 Assignment and novation","(c)","Upon request by the Principal to do so, the Supplier must enter into a deed effecting any novation permitted by this Contract. Each such deed of novation will be on the same term and conditions. in the form that the Principal reasonably requires and will effect a release in favour of the Principal in respect of all its liability under this Contract arising on or after the effective date of the novation, but (unless otherwise accepted by the person to whom the Contract is novated) will not release its liability for all breaches committed by it prior to that date.","False","Supplier requests the proposed amendments to ensure that any novation is effected on substantially the same terms and conditions as the Contract and that the Supplier is not subject to unilateral execution rights, deemed appointments or payment suspension rights. Any novation should be subject to the Supplier's participation in the novation process and should not adversely alter the Supplier's agreed commercial or risk position."
"72","124","","","A.","Equipment Price: Not applicable","False","Please refer to Supplier’s comment on Price Adjustment / Rise and Fall / escalation."
"73","125","","","A.","Where the relevant Supply Order Sum is to be increased, 10% is applicable only to materials, Equipment and Subcontractor costs, and 0% is applicable to Personnel (not including Subcontractors) costs.","False","Supplier requests amendment. The current percentage-based valuation methodology is more suited to construction contracts. Variations relating to equipment supply should be valued using actual equipment, freight, subcontractor and associated costs applicable to the relevant variation."
"74","130","","","","24 months from the Date of DeliveryAcceptance.","False","Acceptance is beyond the Supplier’s control, we request for 24 months from the Date of Delivery."
"75","130","","","","Professional Indemnity Insurance","False","Supplier does not maintain Professional Indemnity Insurance for this scope. The Contract is principally for the supply of Equipment, with the relevant risks addressed through the Supplier's warranty obligations and other insurance coverage maintained under the Contract."
"76","139","","","","","False","Supplier reserves all rights in respect of providing further comments / deviations / departures with respect to tariff, duties and anything concerning its applicability to this contract."
"77","147","3. Additional Lubrication Schedule","","","Annexure I - Performance requirements and Acceptance Tests","True","Business to confirm applicability and the changes required here."
"78","147","3. Additional Lubrication Schedule","","","Annexure I - Performance requirements and Acceptance Tests","True","Business to replace this portion with - SDRL & Scope of Work Document and Data sheet, to be included here. Part of ABB’s offer submission."
"79","147","3. Additional Lubrication Schedule","","","Annexure I - Performance requirements and Acceptance Tests","True","Business to replace this with the Right Offer Document / Reference as discussed on 14.08.2026. - Please delete this comment after the action is complete."
"80","150","","","","Schedule 3 – Pricing Schedule","True","Internal - Action - Business to confirm here, what changes are required in this schedule."
"81","150","","","","Schedule 3 – Pricing Schedule","True","Marcin to replace this with Offer Document - delete the comment later."
"82","152","6. Applicable Milestones for each Supply Order","","","Table 3-1: Framework Milestones for each Supply Order","False","Please refer to the Milestone framework proposed by the Supplier in its offer."
"83","153","8. Applicable Spare Parts","","1.","Applicable Rise and Fall Formula - Not used","False","Please refer to the Escalation Mechanism proposed by the Supplier in the offer. The Supplier’s intent and consideration is to have a Base price + Escalation Mechanism. Once agreed, the same shall be added here and elsewhere relevant in the Contract."
"84","161","3. Framework Lubrication Requirements","Schedule 6 – Not used","","Schedule 7 – Not UsedForm of Parent Company Guarantee","False","Please refer to comments on Parent Company Guarantee clause."
"85","169","","","","Schedule 8 – Form of Security","True","Internal action - Business to provide ABB standard BG template for prior approval and incorporation here."
"86","169","","","","Schedule 8 – Form of Security","True","Fong to replace and delete this comment."
"87","177","","","","Deductibles","False","Deductibles will be as per Supplier’s Standard Insurance it provides for all of its contracts."
"88","177","","","(a)","include a principal's indemnity extension in favour of the Principal and its Related Bodies Corporate with respect to the Principal’s vicarious liability incurred as a result of the acts or omissions of the Supplier or the Supplier’s Personnel;","False","These requirements shall be as per ABB’s standard Insurance policy it provides for all its Contracts."
"89","178","","","","Maximum of $10,000 for each and every loss.","False","Deductibles will be as per Supplier’s Standard Insurance it provides for all of its contracts."
"90","179","","","","Schedule 11 – Not UsedSubcontractor Warranty","False","Please refer to other comments on Subcontractor Warranties."
"91","181","","[Attach Specification for Subcontractor Equipment]","","Schedule 12 – Review Procedures","False","Supplier reserves its right to raise any additional comments on this as per further discussions on the submitted offer document."
"92","190","","","","Schedule 15 – Deed of Novation","False","Supplier reserves all rights in respect of Schedule 15. Detailed comments and proposed amendments will be provided in a subsequent review and should not be taken as accepted in its current form."
